Sexo,Edad,REdad,EstCiv,ZONA,Region,Prov,Dis,TVidaAño,Ingreso,T_Plazo,T_Micro,T_Convenios,T_TC,T_EI,Deu_TOTAL_SBS,Deu_Emp_SBS,Deu_Pequ_SBS,Deu_Micr_SBS,Deu_ConR_SBS,Deu_ConN_SBS,Deu_Hipo_SBS,Lin_TCre_SBS,Deu_TCre_SBS,Deu_Conv_SBS,Deu_PLD_SBS,Deu_Vehi_SBS,Deu_Otro_SBS,Deu_HipTrad_SBS,Deu_MiViv_SBS
Femenino,50.0,[50 - 55>,Soltero,ZONA 7,LIMA,LIMA,LA MOLINA,14.150684931506849,2368.42,1.0,0.0,0.0,1.0,1.0,116.53991,,,,116.53991,,,17257.622473,116.53991,,,,,,
Femenino,59.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,14.07123287671233,1819.2,1.0,0.0,0.0,0.0,0.0,6715.0531,,,,1620.328879,5094.72422,,23982.096608,1620.328879,,5094.72422,,,,
Masculino,58.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.07123287671233,3969.0,1.0,0.0,0.0,1.0,1.0,588.245974,,,,588.245974,,,75558.410414,588.245974,,,,,,
Masculino,56.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,LA MOLINA,14.068493150684931,3789.75,1.0,0.0,0.0,0.0,0.0,15210.880438,,,,121.829393,15089.051044,,34559.575196,121.829393,,15089.051044,,,,
Femenino,34.0,[30 - 35>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,14.068493150684931,1539.65,1.0,0.0,0.0,1.0,0.0,831.56903,,,,831.56903,,,42203.323055,831.56903,,,,,,
Masculino,44.0,[40 - 45>,Soltero,ZONA 2,LIMA,LIMA,SAN MARTIN DE PORRES,14.068493150684931,2120.36,1.0,0.0,0.0,0.0,0.0,813.662213,,,,813.662213,,,13120.931825,813.662213,,,,,,
Femenino,37.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,MIRAFLORES,14.068493150684931,1696.8,1.0,0.0,0.0,0.0,0.0,168.098663,,,,168.098663,,,15593.627954,168.098663,,,,,,
Femenino,59.0,[55 - 60>,Casado,ZONA 8,LIMA,LIMA,CHORRILLOS,14.068493150684931,1583.64,1.0,0.0,0.0,0.0,0.0,820.095923,,,,820.095923,,,7022.953066,820.095923,,,,,,
Masculino,55.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,14.068493150684931,2522.52,1.0,0.0,0.0,0.0,0.0,171.079136,,,,171.079136,,,15827.338129,171.079136,,,,,,
Masculino,35.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.068493150684931,2702.7,1.0,0.0,0.0,0.0,0.0,925.515587,,,,925.515587,,,20267.454607,925.515587,,,,,,
Masculino,56.0,[55 - 60>,Soltero,ZONA 8,LIMA,LIMA,SURQUILLO,14.068493150684931,5180.74,1.0,0.0,0.0,0.0,0.0,15609.558067,,,,12988.400137,2621.15793,,54769.561493,12988.400137,,,2621.15793,,,
Masculino,38.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.065753424657535,1850.4,1.0,0.0,0.0,0.0,0.0,221.956149,,,,221.956149,,,10392.428914,221.956149,,,,,,
Femenino,37.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,LA MOLINA,14.065753424657535,3465.0,1.0,0.0,0.0,0.0,0.0,42169.705378,,,,14340.500171,27829.205207,,31380.609797,14340.500171,,27829.205207,,,,
Masculino,54.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.065753424657535,4912.12,1.0,0.0,0.0,1.0,0.0,182883.162041,,,,28079.763617,3214.018499,151589.379924,106715.621788,31293.782117,,,,,151589.379924,
Masculino,45.0,[45 - 50>,Casado,ZONA 10,CALLAO,CALLAO,CALLAO,14.065753424657535,2673.06,1.0,0.0,0.0,0.0,0.0,696.245289,,,,696.245289,,,14268.585131,696.245289,,,,,,
Femenino,40.0,[40 - 45>,Casado,ZONA 6,LIMA,LIMA,JESUS MARIA,14.065753424657535,2203.31,1.0,0.0,0.0,1.0,0.0,841.473107,,,,841.473107,,,16038.797533,841.473107,,,,,,
Masculino,59.0,[55 - 60>,Soltero,ZONA 8,LIMA,LIMA,SAN JUAN DE MIRAFLORES,14.065753424657535,3798.75,1.0,0.0,0.0,0.0,0.0,3603.086673,,,,3603.086673,,,27357.194244,3603.086673,,,,,,
Femenino,59.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.065753424657535,3151.72,1.0,0.0,0.0,0.0,0.0,17111.65125,,,,8155.950668,4065.292908,4890.407673,51211.40459,8155.950668,,4065.292908,,,4890.407673,
Masculino,57.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.065753424657535,9873.5,1.0,0.0,0.0,0.0,0.0,73855.793079,,,,23957.019527,49898.773552,,72198.307639,23957.019527,,23599.965741,26298.80781,,,
Masculino,43.0,[40 - 45>,Soltero,ZONA NORTE,LA LIBERTAD,TRUJILLO,TRUJILLO,14.065753424657535,3006.08,1.0,0.0,0.0,0.0,0.0,1994.618019,,,,1994.618019,,,56313.463514,1994.618019,,,,,,
Femenino,43.0,[40 - 45>,Soltero,ZONA 4,LIMA,LIMA,LA VICTORIA,14.065753424657535,1678.4,1.0,0.0,0.0,0.0,0.0,405.368276,,,,405.368276,,,11870.503597,405.368276,,,,,,
Femenino,59.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,14.065753424657535,1759.2,1.0,0.0,0.0,0.0,0.0,853.484069,,,,853.484069,,,16392.600205,853.484069,,,,,,
Femenino,44.0,[40 - 45>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.065753424657535,2117.99,1.0,0.0,0.0,0.0,0.0,1623.292223,,,,1623.292223,,,13018.156903,1623.292223,,,,,,
Femenino,32.0,[30 - 35>,Soltero,ZONA 6,LIMA,LIMA,SAN MIGUEL,14.065753424657535,1861.6,1.0,0.0,0.0,0.0,0.0,38064.162384,,,,,,38064.162384,342.583076,,,,,,,38064.162384
Masculino,46.0,[45 - 50>,Soltero,ZONA 4,LIMA,LIMA,LIMA,9.997260273972604,3552.0,1.0,0.0,0.0,0.0,0.0,8396.601575,,,,8396.601575,,,51680.315176,8396.601575,,,,,,
Masculino,50.0,[50 - 55>,Soltero,ZONA 6,LIMA,LIMA,SAN MIGUEL,14.054794520547945,1530.52,1.0,0.0,0.0,0.0,0.0,0.02398,,,,0.02398,,,6722.747516,0.02398,,,,,,
Masculino,44.0,[40 - 45>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.054794520547945,10837.14,1.0,0.0,0.0,0.0,0.0,376904.193216,,,,941.370332,,375962.822884,61426.51593,941.370332,,,,,375962.822884,
Femenino,48.0,[45 - 50>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,9.005479452054795,1529.69,1.0,0.0,0.0,0.0,0.0,727.533401,,,,727.533401,,,9146.968139,727.533401,,,,,,
Masculino,54.0,[50 - 55>,Divorciado,ZONA 7,LIMA,LIMA,SAN ISIDRO,28.02191780821918,2191.46,1.0,0.0,0.0,1.0,0.0,39119.523809,,,,16409.636861,22709.886947,,16291.387461,16409.636861,,22039.832134,,670.054813,,
Masculino,53.0,[50 - 55>,Soltero,ZONA 8,LIMA,LIMA,CHORRILLOS,26.942465753424656,1316.38,1.0,0.0,0.0,0.0,0.0,704.429599,,,,704.429599,,,1130.524152,704.429599,,,,,,
Masculino,59.0,[55 - 60>,Soltero,ZONA 1,LIMA,LIMA,COMAS,26.323287671232876,2113.25,1.0,0.0,0.0,0.0,0.0,165.224391,,,,165.224391,,,20175.916409,165.224391,,,,,,
Femenino,57.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,26.101369863013698,1603.2,1.0,0.0,0.0,0.0,0.0,316.74546,,,,316.74546,,,5405.960945,316.74546,,,,,,
Masculino,58.0,[55 - 60>,Divorciado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,25.69041095890411,3217.84,1.0,0.0,0.0,0.0,0.0,36677.553956,,,,,1388.204864,35289.349092,13138.804385,1388.204864,,,,,,35289.349092
Femenino,47.0,[45 - 50>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,25.5972602739726,1345.43,1.0,0.0,0.0,0.0,0.0,369.205207,,,,369.205207,,,1301.81569,369.205207,,,,,,
Femenino,53.0,[50 - 55>,Soltero,ZONA 7,LIMA,LIMA,MIRAFLORES,25.55890410958904,1570.36,1.0,0.0,0.0,0.0,0.0,769.479273,,,,769.479273,,,4246.831106,769.479273,,,,,,
Femenino,57.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,25.495890410958904,4426.5,1.0,0.0,0.0,0.0,0.0,23390.863309,,,,269.266872,23121.596437,,13109.71223,13109.691675,,10281.171634,,,,
Masculino,41.0,[40 - 45>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,25.413698630136988,5376.1,1.0,0.0,0.0,0.0,0.0,17457.447756,,,,1841.373758,15616.073997,,35154.984583,1841.373758,,15616.073997,,,,
Femenino,56.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,25.367123287671234,2807.42,1.0,0.0,0.0,0.0,0.0,25230.551558,,,,213.720452,,25016.831106,12367.249057,213.720452,,,,,,25016.831106
Masculino,56.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,MIRAFLORES,25.339726027397262,4344.75,1.0,0.0,0.0,0.0,0.0,1354.97088,,,,1354.97088,,,14765.330592,1354.97088,,,,,,
Masculino,47.0,[45 - 50>,Soltero,ZONA 4,LIMA,LIMA,LIMA,25.2986301369863,958.65,1.0,0.0,0.0,0.0,0.0,48.80781,,,,48.80781,,,3254.539225,48.80781,,,,,,
Femenino,45.0,[45 - 50>,Casado,ZONA 7,LIMA,LIMA,LA MOLINA,25.221917808219178,2518.62,1.0,0.0,0.0,1.0,0.0,3253.826652,,,,3253.826652,,,34109.825282,3253.826652,,,,,,
Femenino,49.0,[45 - 50>,Soltero,ZONA 6,LIMA,LIMA,SAN MIGUEL,25.106849315068494,1873.6,1.0,0.0,0.0,0.0,0.0,2816.217882,,,,2816.217882,,,14742.720109,2816.217882,,,,,,
Femenino,58.0,[55 - 60>,Casado,ZONA 9,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,25.08219178082192,1240.85,1.0,1.0,0.0,0.0,0.0,5278.636519,,5278.636519,,,,,,,,,,,,
Femenino,52.0,[50 - 55>,Soltero,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,24.972602739726028,2654.34,1.0,0.0,0.0,0.0,0.0,489.81843,,,,489.81843,,,68312.685851,489.81843,,,,,,
Masculino,56.0,[55 - 60>,Soltero,ZONA 1,LIMA,LIMA,COMAS,24.816438356164383,964.46,1.0,0.0,0.0,0.0,0.0,407.310722,,,,316.491949,90.818773,,102.774922,316.491949,,90.818773,,,,
Femenino,59.0,[55 - 60>,Soltero,ZONA 8,LIMA,LIMA,SURQUILLO,24.695890410958903,1632.0,1.0,0.0,0.0,0.0,0.0,3821.613566,,,,3821.613566,,,34204.179513,3821.613566,,,,,,
Masculino,54.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,24.35890410958904,7482.96,1.0,0.0,0.0,0.0,0.0,106.885919,,,,106.885919,,,29976.019184,106.885919,,,,,,
